Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Market Price 
Pokemon,Miscellaneous Cards & Products,Meowth - 56/64 (Gold Bordered Promo),56/64,Promo,Normal,Ungraded,50.34
Pokemon,Night Wanderer,Binding Mochi (JP),057/064,Uncommon,Normal,Ungraded,1.29
Pokemon,Night Wanderer,Stufful (JP),052/064,Common,Normal,Ungraded,1.57
Pokemon,Paldea Evolved,Bramblin,198/193,Illustration Rare,Holofoil,Ungraded,8.38
Pokemon,Paldean Fates,Paldean Tauros,111/091,Shiny Rare,Holofoil,Ungraded,2.87
Pokemon,Paldean Fates,Paldean Tauros,120/091,Shiny Rare,Holofoil,Ungraded,2.81
Pokemon,Paldean Fates,Paldean Tauros,172/091,Shiny Rare,Holofoil,Ungraded,2.67
Pokemon,Phantasmal Flames,Mega Lopunny ex,084/094,Double Rare,Holofoil,Ungraded,0.58
Pokemon,Phantasmal Flames,Mimikyu,042/094,Common,Reverse Holofoil,Ungraded,0.27
Pokemon,Phantasmal Flames,Paldean Tauros,048/094,Uncommon,Normal,Ungraded,0.15
Pokemon,Phantasmal Flames,Paldean Tauros,048/094,Uncommon,Reverse Holofoil,Ungraded,0.23
Pokemon,Pokemon 151,Tauros (JP),128/165,Uncommon,Master Ball Reverse Holo,Ungraded,11.06
Pokemon,Prismatic Evolutions,Friends in Paldea,137/131,Ultra Rare,Holofoil,Ungraded,0.99
Pokemon,Prismatic Evolutions,Great Tusk,055/131,Uncommon,Normal,Ungraded,0.05
Pokemon,Scarlet & Violet Promo,Melmetal ex,104,Promo,Holofoil,Ungraded,1.71
Pokemon,Scarlet & Violet Promo,Mimikyu,75,Promo,Holofoil,Ungraded,12.1
Pokemon,Scarlet & Violet Promo,Scraggy,186,Promo,Holofoil,Ungraded,0.73
Pokemon,Scarlet & Violet Promo,Yanma,185,Promo,Holofoil,Ungraded,0.42
Pokemon,Shrouded Fable,Meowth,048/064,Common,Normal,Ungraded,0.11
Pokemon,Shrouded Fable,Munkidori ex,037/064,Double Rare,Holofoil,Ungraded,0.63
Pokemon,Silver Tempest,Skuntank V,108/195,Ultra Rare,Holofoil,Ungraded,0.72
Pokemon,Start Deck 100 Battle Collection,Stufful,616/742,,Normal,Ungraded,1
Pokemon,Stellar Crown,Lileep,145/142,Illustration Rare,Holofoil,Ungraded,5.74
Pokemon,Stellar Crown,Tauros,112/142,Common,Normal,Ungraded,0.09
Pokemon,Stellar Miracle,Archaludon (JP),113/102,Art Rare,Holofoil,Ungraded,2.94
Pokemon,Sun & Moon Base Set,Tauros GX (Full Art),144,Ultra Rare,Holofoil,Ungraded,3.68
Pokemon,Sun & Moon Promo,Raikou GX,SM121,Promo,Holofoil,Ungraded,7.68
Pokemon,Super Electric Breaker,Deduction Set (JP),094/106,Uncommon,Normal,Ungraded,1
Pokemon,Surging Sparks,Dedenne,087/191,Common,Normal,Ungraded,0.09
Pokemon,Surging Sparks,Durant ex,215/191,Ultra Rare,Holofoil,Ungraded,1.08
Pokemon,Surging Sparks,Durant ex,236/191,Special Illustration Rare,Holofoil,Ungraded,26.42
Pokemon,Surging Sparks,Flygon ex,106/191,Double Rare,Holofoil,Ungraded,0.7
Pokemon,Surging Sparks,Paldean Tauros,101/191,Uncommon,Normal,Ungraded,0.08
Pokemon,Surging Sparks,Paldean Tauros,039/191,Uncommon,Normal,Ungraded,0.11
Pokemon,Surging Sparks,Paldean Tauros,018/191,Uncommon,Normal,Ungraded,0.09
Pokemon,SV: 151,Meowth,052/165,Common,Normal,Ungraded,0.15
Pokemon,SV: 151,Tauros,128/165,Uncommon,Normal,Ungraded,0.13
Pokemon,SV: 151,Venusaur ex,003/165,Double Rare,Holofoil,Ungraded,1.44
Pokemon,Sword & Shield Base Set,Galarian Meowth,127/202,Common,Normal,Ungraded,0.18
Pokemon,Team Rocket,Meowth,62,Common,1st Edition,Ungraded,2.31
Pokemon,Temporal Forces,Pikachu,051/162,Common,Normal,Ungraded,0.24
Pokemon,Triplet Beat,Paldean Tauros (JP),084/073,Secret Rare,Holofoil,Ungraded,5.13
Pokemon,Twilight Masquerade,Cramorant,176/167,Illustration Rare,Holofoil,Ungraded,4.11
Pokemon,Twilight Masquerade,Love Ball,156/167,Uncommon,Normal,Ungraded,0.18
Pokemon,Undaunted,Honchkrow (16),16,Rare,Reverse Holofoil,Ungraded,2.87
Pokemon,Vivid Voltage,Dedenne,077/185,Common,Reverse Holofoil,Ungraded,0.44
Pokemon,Vivid Voltage,Jolteon,047/185,Rare,Reverse Holofoil,Ungraded,0.65
Pokemon,VMAX Climax,Mimikyu VMAX (JP),077/184,Ultra Rare,Holofoil,Ungraded,5.97
